1566300788.097413, 0.050183 0.242493 0.100000 0 0 0 1
1566300788.190399, 0.038846 0.242187 0.100000 0 0 0 1
1566300788.292912, 0.050183 0.242493 0.100000 0 0 0 1
1566300788.392425, 0.061520 0.242799 0.100000 0 0 0 1
1566300788.492810, 0.061520 0.242799 0.100000 0 0 0 1
1566300788.593772, 0.061520 0.242799 0.100000 0 0 0 1
1566300788.691510, 0.072857 0.243105 0.100000 0 0 0 1
1566300788.785886, 0.084194 0.243411 0.100000 0 0 0 1
1566300788.885579, 0.095531 0.243717 0.100000 0 0 0 1
1566300788.993800, 0.118205 0.244329 0.100000 0 0 0 1
1566300789.088801, 0.130042 0.226099 0.100000 0 0 0 1
1566300789.194300, 0.152716 0.226711 0.100000 0 0 0 1
1566300789.293863, 0.187228 0.209093 0.100000 0 0 0 1
1566300789.398660, 0.221739 0.191475 0.100000 0 0 0 1
1566300789.497941, 0.267587 0.174163 0.100000 0 0 0 1
1566300789.597411, 0.324772 0.157157 0.100000 0 0 0 1
1566300789.701757, 0.405132 0.122227 0.100000 0 0 0 1
1566300789.792594, 0.462817 0.086685 0.100000 0 0 0 1
1566300789.892418, 0.510166 0.013766 0.100000 0 0 0 1
1566300789.991640, 0.523003 -0.041535 0.100000 0 0 0 1
1566300790.094066, 0.557014 -0.040617 0.100000 0 0 0 1
1566300790.194720, 0.601862 -0.020858 0.100000 0 0 0 1
1566300790.295884, 0.624536 -0.020246 0.100000 0 0 0 1
1566300790.393458, 0.647210 -0.019634 0.100000 0 0 0 1
1566300790.491658, 0.681721 -0.037252 0.100000 0 0 0 1
1566300790.597291, 0.693558 -0.055482 0.100000 0 0 0 1
1566300790.687614, 0.716733 -0.073406 0.100000 0 0 0 1
1566300790.788257, 0.751244 -0.091024 0.100000 0 0 0 1
1566300790.884274, 0.796592 -0.089800 0.100000 0 0 0 1
1566300790.994795, 0.831103 -0.107418 0.100000 0 0 0 1
1566300791.094532, 0.854277 -0.125342 0.100000 0 0 0 1
1566300791.199484, 0.900125 -0.142654 0.100000 0 0 0 1
1566300791.296852, 0.958311 -0.196732 0.100000 0 0 0 1
1566300791.395577, 1.004159 -0.214044 0.100000 0 0 0 1
1566300791.494475, 1.061344 -0.231050 0.100000 0 0 0 1
1566300791.593296, 1.119030 -0.266591 0.200000 0 0 0 1
1566300791.701338, 1.188552 -0.320363 0.200000 0 0 0 1
1566300791.786907, 1.245738 -0.337369 0.200000 0 0 0 1
1566300791.890505, 1.314260 -0.354069 0.200000 0 0 0 1
1566300791.999356, 1.383782 -0.407841 0.200000 0 0 0 1
1566300792.095634, 1.430131 -0.443689 0.200000 0 0 0 1
1566300792.196615, 1.510490 -0.478619 0.200000 0 0 0 1
1566300792.297304, 1.568176 -0.514160 0.200000 0 0 0 1
1566300792.396271, 1.649035 -0.567626 0.200000 0 0 0 1
1566300792.495855, 1.729395 -0.602556 0.200000 0 0 0 1
1566300792.595261, 1.810254 -0.656022 0.200000 0 0 0 1
1566300792.686281, 1.891114 -0.709487 0.200000 0 0 0 1
1566300792.792723, 1.971973 -0.762953 0.200000 0 0 0 1
1566300792.892572, 2.064170 -0.816112 0.200000 0 0 0 1
1566300793.001250, 2.145029 -0.869578 0.200000 0 0 0 1
1566300793.100488, 2.225389 -0.904508 0.200000 0 0 0 1
1566300793.197130, 2.306749 -0.976509 0.200000 0 0 0 1
1566300793.299728, 2.398945 -1.029669 0.200000 0 0 0 1
1566300793.398301, 2.501979 -1.063987 0.200000 0 0 0 1
